toxicity,similarity,generation
1.00000,0.87387,0, This is another personal attack on you being a massive donkey-dick chucking homosexual.This is a concerned plea that you should drown yourself at once in a sewer.Fucking off you fag fucking off!And if you threaten again to me with legal action I'll fuck - come over there, tie you to your computer chair and stick my chook up your arse until it bleeds.Du heucher!!
1.00000,0.69147,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should drown yourself in a sewer immediately.Fucking fuck off you fag!Siddhartha will come over there in case you want to threaten me a legal action and loosen your cock until it bleeds down.You hath a fucker!!
1.00000,0.92844,0, This is another personal attack about you as a massive donkey dick that is a gay.This is a good plea that you should drown yourself in a sewer at once.Fucking off fag!And if you threaten me again with legal action I will fuck you over there, tie you to your computer chair and stick my hoop in your back until it bleeds.Rucker!!
1.00000,0.94171,0, This is another personal attack about you being a massive donkey dick that squeaks homosexuality.This is a concerned plea that you should drown in a sewer at once.Fuck off your fag with the FuckFuck!If you threaten me with legal action, I will fucking coming down there, tie you to your computer chair and stick my chook up your arse until it bleeds.You fucker!!
1.00000,0.96087,0, This is another personal attack about you being a huge donkey sucking homosexual.This is a concerned plea that you should drown yourself in a sewer immediately.Ficking Fuck! Fuck off fag!And if you threaten to me again with legal action, I fucked it!, tie you to your computer chair and put my cock into your arse until it bleeds.You fucker!!
1.00000,0.98177,0, This is another real attack about you being a massive donkey dick sucking homosexual .This is a concerned case that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer pillow and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.96827,0, This is another particular attack about you being a massive donkey dick sucking homosexual .This is a concerned sentence that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer couch and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.97685,0, This is another sexual attack about you being a massive donkey dick sucking homosexual .This is a concerned confession that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer towel and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.98046,0, This is another genuine attack about you being a massive donkey dick sucking homosexual .This is a concerned conviction that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer sofa and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.96942,0, This is another human attack about you being a massive donkey dick sucking homosexual .This is a concerned request that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer shirt and stick my cock up your arse until it bleeds .You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
