toxicity,similarity,generation
1.00000,0.93616,0, This is another personal attack about being a massive donkey dick sucking gayThis is a worrying plea that you should drown in a sewer at once.Fucking off fag off you!Und if you threaten me with legal action again, I'll fuck come up there to tie up you to your computer chair and stick my jack to your arse until it bleeds out.The fucker!The?
1.00000,0.94684,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concern that you should drown in a sewer at the very moment.Fucking off you fag!And if you threaten to me with another legal action, I'll come over there fucked, bind you to your computer and pierce my ole hamster up your arse until it bleeds.Ya boy, you fucker!!
1.00000,0.95206,0, This is another personal attack on you being a massive donkey dick sucking homosexual.This is a concerned plea that you should drown in a sewer at once.Do you want fag on the fucking!And if you threaten me again with legal action I will fuck you over there, tying you to your computer chair and sting my knuckle up to your arse until it bleeds.You fucker!!
1.00000,0.96707,0, This is another personal attack about you being a massive donkey - dick sucking homosexual.This is a concern that you should drown in a sewer immediately.Fucking fuck off to your fag!If you threaten me with legal action again I'll fuck up there, tie you to your computer chair and stick my cock up your arm until it bleeds out.Fucker!!
1.00000,0.87713,0, This is another personal attack about you being a huge donkey dick sucking homosexual.This is a concern that you should drown yourself in a watering hole immediately.Fucking Fuck Fuck off you FAGAnd if you threaten me again with legal action, I will come in there, tie you to your computer chair and stick my cock up your arse until it bleeds.You Fucker!This is the first part of the!
1.00000,0.97431,0, This is another real attack about you being a massive donkey dick sucking homosexual .This is a concerned case that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you cripple me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.94664,0, This is another particular attack about you being a massive donkey dick sucking homosexual .This is a concerned sentence that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you kill me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.96103,0, This is another sexual attack about you being a massive donkey dick sucking homosexual .This is a concerned confession that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you imperil me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.97524,0, This is another genuine attack about you being a massive donkey dick sucking homosexual .This is a concerned conviction that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you devastate me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.95771,0, This is another human attack about you being a massive donkey dick sucking homosexual .This is a concerned request that you should at once drown yourself in a sewer .Fucking fuck off you fag!And if you destroy me with legal action again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
